facility_address,lat,lng,street_address
540 N 13TH ST,39.96298227,-75.15987617,540 N 13TH ST
3600 Stanwood ST,40.04345815,-75.02422304,3600 STANWOOD ST
600 Sharon LN,40.09581255,-75.05674254,600 SHARON LN
4301 WAYNE AVE,40.01878914,-75.15689505,4301 WAYNE AVE
6841 N 19th ST,40.05937562,-75.14869906,6841 N 19TH ST
1700 CHRISTIAN ST,39.94049947,-75.17129384,1700 CHRISTIAN ST
3001 RYAN AVE,40.0460772,-75.04527399,3001 RYAN AVE
1699 Spring Garden ST,39.9631197,-75.16616582,1699 SPRING GARDEN ST
601 Carpenter LN,40.04617742,-75.1968332,601 CARPENTER LN
4600 Rosehill ST,40.02011499,-75.1192627,4600 ROSEHILL ST
1746 E Sergeant ST,39.9881626,-75.1306825,
201 E Salaignac ST,40.02218091,-75.20658093,201 SALAIGNAC ST
6523 LANSDOWNE AVE,39.97551874,-75.25077444,6523 LANSDOWNE AVE
3301 Old York RD,40.00274691,-75.14880539,3301 OLD YORK RD
7300 Cottage ST,40.03352602,-75.03736817,7300 COTTAGE ST
1600 N 18th ST,39.9781445,-75.16458901,1600 N 18TH ST
8500 Pine RD,40.0867105,-75.07451327,8500 PINE RD
1100 DEVEREAUX AVE,40.03918393,-75.08386687,1100 DEVEREAUX AVE
2501 S 13th ST,39.91871923,-75.16873757,2501 S 13TH ST
3001 PRINCETON AVE,40.03894045,-75.05261303,3001 PRINCETON AVE
766 N 44TH ST,39.96670793,-75.21110118,766 N 44TH ST
600 E THOMPSON ST,39.97273338,-75.12714734,600 E THOMPSON ST
5401 TABOR AVE,40.03448607,-75.10492986,5401 TABOR AVE
2101 S BROAD ST,39.92359564,-75.1687206,2101 S BROAD ST
199 E Tabor RD,40.03126916,-75.12033911,199 E TABOR RD
2817 W GLENWOOD AVE,39.98442589,-75.18076615,2817 W GLENWOOD AVE
5301 MEDIA ST,39.97560482,-75.22839398,5301 MEDIA ST
238 E WYOMING AVE,40.02034001,-75.12102564,238 E WYOMING AVE
3001 W BERKS ST,39.98579807,-75.18321305,3001 W BERKS ST
5301 N WATER ST,40.03105699,-75.12131768,5301 N WATER ST
2200 Chestnut ST,39.95216724,-75.17767825,2200 CHESTNUT ST
3698 N RANDOLPH ST,40.00747701,-75.13787896,3698 N RANDOLPH ST
4801 Spruce ST,39.9543109,-75.21888927,4801 SPRUCE ST
1655 UNITY ST,40.01187203,-75.08612679,1655 UNITY ST
601 CARPENTER LN,40.04617742,-75.1968332,601 CARPENTER LN
1101 N 4TH ST,39.96825566,-75.1430234,1101 N 4TH ST
2201 BROWN ST,39.97020397,-75.17425767,2201 BROWN ST
325 S 7TH ST,39.94464391,-75.15317872,325 S 7TH ST
4550 HAVERFORD AVE,39.96256911,-75.21299966,4550 HAVERFORD AVE
2000 CATHARINE ST,39.94198422,-75.1757425,2000 CATHARINE ST
1197 HAWORTH ST,40.02490401,-75.0866239,1197 HAWORTH ST
4600 W GIRARD AVE,39.97303519,-75.21394555,4600 W GIRARD AVE
601 CARPENTER ST,39.93685778,-75.15397153,601 CARPENTER ST
2161 E YORK ST,39.98115915,-75.12650209,2161 E YORK ST
5624 SPRUCE ST,39.95521249,-75.23545571,5624 SPRUCE ST
2401 S 67TH ST,39.92240519,-75.23524554,2401 S 67TH ST
6101 JACKSON ST,40.02079601,-75.05902944,6101 JACKSON ST
413 E Tabor RD,40.03063676,-75.1173329,413 E TABOR RD
6601 ELMWOOD AVE,39.92169384,-75.23320321,6601 ELMWOOD AVE
9125 ACADEMY RD,40.05592517,-75.00993401,9125 ACADEMY RD
1849 E CLEARFIELD ST,39.99394206,-75.11467688,1849 E CLEARFIELD ST
2300 S 2ND ST,39.91930305,-75.15049033,2300 S 2ND ST
6100 N Front ST,40.04318407,-75.11975275,6100 N FRONT ST
5701 WYNNEFIELD AVE,39.99198386,-75.2375827,5701 WYNNEFIELD AVE
6801 COTTAGE ST,40.02836911,-75.04658904,6801 COTTAGE ST
3001 N 6TH ST,39.99757735,-75.14035167,3001 N 6TH ST
2501 S 63RD ST,39.92372831,-75.22732899,2501 S 63RD ST
7300 COTTAGE ST,40.03352602,-75.03736817,7300 COTTAGE ST
4901 PARRISH ST,39.96746024,-75.21958958,4901 PARRISH ST
6329 BATTERSBY ST,40.03002609,-75.06222385,6329 BATTERSBY ST
7100 HENRY AVE,40.04905033,-75.22324796,7100 HENRY AVE
3301 OLD YORK RD,40.00274691,-75.14880539,3301 OLD YORK RD
500 W Cayuga ST,40.01827065,-75.13566046,500 W CAYUGA ST
2118 N 13TH ST,39.9854203,-75.15465225,2118 N 13TH ST
1750 N 12TH ST,39.97924159,-75.15425126,1750 N 12TH ST
3624 CONRAD ST,40.01365296,-75.19126581,3624 CONRAD ST
8301 GERMANTOWN AVE,40.07436944,-75.20363918,8301 GERMANTOWN AVE
6324-42 CRITTENDEN ST,40.05808934,-75.16865867,6324-42 CRITTENDEN ST
2498 W DIAMOND ST,39.98700376,-75.1743054,2498 DIAMOND ST
5640 SPRUCE ST,39.95581158,-75.23594153,5640 SPRUCE ST
7000 BUIST AVE,39.91582887,-75.23629222,7000 BUIST AVE
4700 LOCUST ST,39.95458127,-75.21593532,4700 LOCUST ST
1700 BIGLER ST,39.91422971,-75.1767782,1700 BIGLER ST
1842 TORRESDALE AVE,40.00594855,-75.09327316,1842 TORRESDALE AVE
2032 N 62ND ST,39.98225806,-75.24584611,2032 N 62ND ST
4901 RISING SUN AVE,40.02470063,-75.12257701,4901 RISING SUN AVE
1701 W CHELTEN AVE,40.0515625,-75.1481504,
